Shape,Flour Type,Weight,Function Type,Ingredients,Icing Type,Filling,Dietary Preference,Color Theme,Toppings,Cake Layers,Texture,Sweetness Level,Decorations,Serving Size,Price Range,Allergens,Shelf Life
Square,Pistachio,3kg,Wedding,"Chocolate, Caramel, Ganache, Nuts, Fondant",Ganache,Raspberry Mousse,Regular,Silver,"Marshmallows, Nuts",Single,Dense,Medium,"Gold Leaf, Chocolate Shavings",Party Size,Budget,Gluten,Custom
Hexagon,Almond,1.5kg,Graduation,"Nuts, Cream Cheese",Royal Icing,Raspberry Mousse,Eggless,Monochrome,Nuts,Multi-Tier,Soft,Medium,"Candied Fruits, Fondant Figures, Gold Leaf",Medium,Luxury,Nuts,1 Day
Hexagon,Coconut,Custom,Baby Shower,"Nuts, Fruits",Cream Cheese Frosting,Vanilla Custard,Sugar-Free,Gold,Caramel Drizzle,Single,Moist,High,"Piping Art, Edible Glitter, Gold Leaf",Large,Premium,Soy,1 Day
Tiered,Carrot,2kg,Anniversary,"Fruits, Buttercream, Ganache, Mousse, Cream Cheese",Whipped Cream,Raspberry Mousse,Vegan,Silver,"Fruits, Nuts, Chocolate Chips",Single,Fluffy,Medium,"Fondant Figures, Chocolate Shavings",Small,Premium,"Soy, Dairy",1 Week
Square,Almond,4kg,Graduation,"Mousse, Nuts, Caramel, Fondant",Cream Cheese Frosting,Nutella,Regular,Bright,"Edible Flowers, Caramel Drizzle, Nuts",Multi-Tier,Moist,High,"Candied Fruits, Fondant Figures, Piping Art",Small,Luxury,"Dairy, Gluten",1 Day
Rectangle,Almond,4kg,Birthday,"Buttercream, Caramel, Mousse",Ganache,Chocolate,Sugar-Free,Bright,Chocolate Chips,Multi-Tier,Dense,Low,Edible Glitter,Small,Luxury,"Nuts, Soy",Custom
Dome,Pistachio,0.5kg,Festival,"Buttercream, Fruits, Fondant",Whipped Cream,Fruit Compote,Keto-Friendly,Monochrome,"Marshmallows, Caramel Drizzle, Chocolate Chips",Multi-Tier,Soft,High,"Fondant Figures, Piping Art",Medium,Premium,"Nuts, Dairy",3 Days
Rectangle,Almond,0.5kg,Baby Shower,"Nuts, Fondant",Ganache,Nutella,Keto-Friendly,Silver,Nuts,Double,Fluffy,Extra Sweet,Edible Glitter,Large,Premium,"Soy, Nuts",1 Day
Oval,Chocolate,1.5kg,Baby Shower,"Chocolate, Fruits, Cream Cheese, Caramel",Ganache,Fruit Compote,Vegan,Gold,Sprinkles,Double,Moist,Medium,"Candied Fruits, Edible Glitter, Chocolate Shavings",Small,Budget,"Soy, Gluten",Custom
Star,Marble,3kg,Engagement,"Mousse, Caramel",Whipped Cream,Vanilla Custard,Sugar-Free,Rainbow,"Sprinkles, Chocolate Chips, Fruits",Double,Moist,Low,"Chocolate Shavings, Piping Art",Party Size,Standard,Nuts,Custom
Dome,Almond,1kg,Engagement,"Ganache, Nuts, Caramel",Ganache,Fruit Compote,Low-Carb,Rainbow,"Marshmallows, Sprinkles",Single,Fluffy,Medium,"Candied Fruits, Piping Art",Party Size,Premium,"None, Gluten",1 Week
Hexagon,Red Velvet,4kg,Graduation,"Fondant, Cream Cheese, Ganache, Fruits, Nuts",Ganache,Nutella,Eggless,Silver,"Fruits, Marshmallows",Multi-Tier,Crispy,Extra Sweet,"Fondant Figures, Gold Leaf",Party Size,Standard,Nuts,1 Day
Dome,Red Velvet,5kg,Graduation,"Fruits, Cream Cheese, Chocolate, Buttercream",Whipped Cream,Strawberry Jam,Regular,Pastel,"Marshmallows, Sprinkles",Multi-Tier,Dense,High,"Gold Leaf, Piping Art, Edible Glitter",Large,Premium,"Dairy, None",3 Days
Hexagon,Marble,0.5kg,Baby Shower,"Ganache, Buttercream, Fruits",Buttercream,Caramel,Low-Carb,Rainbow,Chocolate Chips,Double,Fluffy,Medium,"Candied Fruits, Piping Art",Large,Premium,None,1 Day
Round,Pistachio,2kg,Engagement,"Ganache, Cream Cheese, Nuts, Chocolate",Royal Icing,Fruit Compote,Keto-Friendly,Pastel,"Chocolate Chips, Marshmallows",Multi-Tier,Fluffy,High,"Chocolate Shavings, Edible Glitter, Piping Art",Party Size,Premium,Soy,Custom
Tiered,Marble,2.5kg,Engagement,"Chocolate, Fondant, Fruits, Cream Cheese, Caramel",Royal Icing,Chocolate,Low-Carb,Silver,"Sprinkles, Edible Flowers, Fruits",Double,Fluffy,Extra Sweet,"Fondant Figures, Chocolate Shavings, Gold Leaf",Large,Budget,"Dairy, Soy",1 Day
Rectangle,Red Velvet,1.5kg,Corporate,"Cream Cheese, Nuts, Ganache",Royal Icing,Chocolate,Gluten-Free,Gold,Chocolate Chips,Multi-Tier,Dense,Extra Sweet,"Chocolate Shavings, Gold Leaf",Medium,Luxury,Gluten,1 Day
Tiered,Vanilla,5kg,Wedding,"Nuts, Ganache, Caramel, Chocolate, Fruits",Royal Icing,Fruit Compote,Gluten-Free,Pastel,Sprinkles,Multi-Tier,Moist,Medium,"Chocolate Shavings, Piping Art",Medium,Budget,Gluten,1 Week
Dome,Gluten-Free,4kg,Birthday,"Ganache, Fondant, Buttercream, Chocolate, Fruits",Whipped Cream,Raspberry Mousse,Gluten-Free,Dark,"Chocolate Chips, Marshmallows",Double,Soft,High,"Edible Glitter, Candied Fruits",Large,Budget,"Dairy, Gluten",1 Week
Hexagon,Almond,1.5kg,Engagement,"Nuts, Chocolate",Cream Cheese Frosting,Chocolate,Gluten-Free,Silver,"Edible Flowers, Caramel Drizzle",Double,Crispy,Medium,"Edible Glitter, Gold Leaf, Piping Art",Large,Luxury,"Soy, None",Custom
Tiered,Coconut,5kg,Anniversary,"Mousse, Chocolate, Buttercream, Fruits",Whipped Cream,Strawberry Jam,Gluten-Free,Bright,Caramel Drizzle,Multi-Tier,Soft,Medium,"Chocolate Shavings, Candied Fruits",Party Size,Luxury,Nuts,1 Week
Rectangle,Vanilla,3kg,Baby Shower,"Cream Cheese, Caramel, Mousse, Chocolate, Ganache",Buttercream,Caramel,Regular,Silver,Nuts,Multi-Tier,Crispy,High,"Chocolate Shavings, Fondant Figures",Medium,Premium,"Gluten, Nuts",1 Day
Heart,Red Velvet,1kg,Festival,"Chocolate, Nuts",Buttercream,Chocolate,Vegan,Rainbow,"Caramel Drizzle, Chocolate Chips",Double,Soft,Extra Sweet,"Piping Art, Chocolate Shavings, Fondant Figures",Large,Premium,"Gluten, Soy",3 Days
Star,Red Velvet,1kg,Festival,"Chocolate, Buttercream, Caramel",Buttercream,Vanilla Custard,Vegan,Pastel,"Edible Flowers, Marshmallows, Sprinkles",Double,Dense,Extra Sweet,"Gold Leaf, Chocolate Shavings, Candied Fruits",Small,Luxury,"Soy, Nuts",3 Days
Round,Chocolate,2kg,Baby Shower,"Mousse, Fruits, Caramel, Chocolate",Whipped Cream,Caramel,Sugar-Free,Dark,Chocolate Chips,Multi-Tier,Dense,Extra Sweet,Chocolate Shavings,Small,Premium,"Nuts, Dairy",1 Week
Rectangle,Marble,Custom,Wedding,"Cream Cheese, Chocolate, Mousse, Buttercream",Whipped Cream,Chocolate,Regular,Silver,Fruits,Single,Dense,Low,Chocolate Shavings,Party Size,Standard,Nuts,3 Days
Hexagon,Vanilla,1kg,Anniversary,"Buttercream, Chocolate",Ganache,Caramel,Low-Carb,Bright,"Sprinkles, Caramel Drizzle, Marshmallows",Multi-Tier,Fluffy,Medium,"Edible Glitter, Fondant Figures, Gold Leaf",Large,Luxury,Soy,3 Days
Square,Carrot,3kg,Wedding,"Caramel, Buttercream, Nuts, Mousse",Whipped Cream,Strawberry Jam,Eggless,Bright,"Marshmallows, Chocolate Chips, Sprinkles",Single,Dense,Medium,"Gold Leaf, Edible Glitter, Fondant Figures",Small,Budget,Nuts,Custom
Oval,Gluten-Free,1.5kg,Corporate,"Cream Cheese, Ganache, Mousse, Chocolate",Royal Icing,Caramel,Keto-Friendly,Rainbow,Nuts,Double,Soft,Medium,Gold Leaf,Party Size,Luxury,"Soy, None",1 Day
Star,Gluten-Free,2kg,Corporate,"Nuts, Cream Cheese",Royal Icing,Nutella,Regular,Silver,"Caramel Drizzle, Chocolate Chips",Multi-Tier,Crispy,Extra Sweet,"Chocolate Shavings, Gold Leaf, Piping Art",Medium,Budget,"Nuts, Soy",Custom
Square,Almond,0.5kg,Wedding,"Nuts, Chocolate",Whipped Cream,Nutella,Keto-Friendly,Dark,"Chocolate Chips, Fruits, Marshmallows",Multi-Tier,Fluffy,Medium,"Gold Leaf, Edible Glitter",Large,Standard,Dairy,1 Week
Rectangle,Vanilla,5kg,Graduation,"Nuts, Chocolate",Ganache,Nutella,Vegan,Rainbow,Marshmallows,Double,Crispy,Medium,Candied Fruits,Medium,Premium,"None, Soy",3 Days
Hexagon,Red Velvet,Custom,Birthday,"Caramel, Cream Cheese, Ganache",Fondant,Nutella,Sugar-Free,Gold,"Chocolate Chips, Edible Flowers",Double,Dense,Medium,Candied Fruits,Large,Budget,Gluten,1 Day
Round,Marble,4kg,Birthday,"Fondant, Chocolate",Ganache,Raspberry Mousse,Vegan,Bright,Marshmallows,Single,Crispy,Extra Sweet,"Chocolate Shavings, Edible Glitter",Medium,Luxury,"Gluten, Dairy",1 Day
Heart,Almond,Custom,Corporate,"Cream Cheese, Mousse, Nuts, Buttercream",Fondant,Nutella,Vegan,Gold,"Edible Flowers, Marshmallows",Double,Crispy,High,"Edible Glitter, Chocolate Shavings, Candied Fruits",Party Size,Premium,"Gluten, Dairy",3 Days
Rectangle,Gluten-Free,3kg,Birthday,"Chocolate, Mousse, Fondant",Whipped Cream,Vanilla Custard,Low-Carb,Rainbow,Chocolate Chips,Multi-Tier,Fluffy,Extra Sweet,"Candied Fruits, Edible Glitter, Gold Leaf",Large,Premium,None,1 Day
Star,Red Velvet,Custom,Anniversary,"Cream Cheese, Caramel",Ganache,Raspberry Mousse,Sugar-Free,Rainbow,"Nuts, Chocolate Chips",Multi-Tier,Crispy,Extra Sweet,"Piping Art, Fondant Figures",Small,Budget,"Dairy, Gluten",3 Days
Round,Gluten-Free,4kg,Engagement,"Ganache, Cream Cheese, Nuts, Fruits, Buttercream",Whipped Cream,Nutella,Regular,Rainbow,"Caramel Drizzle, Edible Flowers, Fruits",Multi-Tier,Fluffy,Medium,"Chocolate Shavings, Gold Leaf",Large,Premium,"None, Soy",1 Week
Star,Chocolate,4kg,Wedding,"Caramel, Mousse",Fondant,Raspberry Mousse,Eggless,Bright,Edible Flowers,Double,Soft,Extra Sweet,Edible Glitter,Small,Premium,Dairy,1 Day
Square,Coconut,Custom,Graduation,"Caramel, Chocolate, Buttercream, Fondant, Nuts",Royal Icing,Vanilla Custard,Eggless,Rainbow,"Sprinkles, Marshmallows, Edible Flowers",Single,Fluffy,High,"Edible Glitter, Piping Art, Chocolate Shavings",Small,Standard,"None, Soy",3 Days
Round,Coconut,1kg,Baby Shower,"Buttercream, Chocolate",Fondant,Nutella,Low-Carb,Gold,Nuts,Multi-Tier,Soft,Medium,"Piping Art, Edible Glitter, Chocolate Shavings",Medium,Standard,Nuts,3 Days
Heart,Chocolate,2.5kg,Corporate,"Mousse, Fruits",Whipped Cream,Vanilla Custard,Eggless,Silver,"Edible Flowers, Caramel Drizzle",Single,Moist,High,Gold Leaf,Medium,Premium,Gluten,3 Days
Hexagon,Gluten-Free,1kg,Graduation,"Chocolate, Cream Cheese, Buttercream, Nuts",Buttercream,Nutella,Sugar-Free,Pastel,"Fruits, Sprinkles",Double,Soft,Extra Sweet,Chocolate Shavings,Small,Standard,"Dairy, Soy",Custom
Heart,Coconut,1kg,Corporate,"Nuts, Fondant, Cream Cheese, Caramel",Cream Cheese Frosting,Vanilla Custard,Eggless,Pastel,"Nuts, Sprinkles, Caramel Drizzle",Multi-Tier,Crispy,Medium,"Fondant Figures, Edible Glitter",Small,Budget,Soy,1 Week
Rectangle,Marble,4kg,Corporate,"Fruits, Nuts, Buttercream, Cream Cheese",Royal Icing,Nutella,Gluten-Free,Pastel,"Marshmallows, Fruits, Sprinkles",Multi-Tier,Dense,Extra Sweet,Piping Art,Party Size,Luxury,Gluten,1 Week
Oval,Vanilla,0.5kg,Engagement,"Caramel, Cream Cheese, Nuts, Fruits, Fondant",Fondant,Nutella,Regular,Silver,"Nuts, Sprinkles",Single,Fluffy,High,"Edible Glitter, Fondant Figures",Party Size,Budget,"Gluten, Soy",3 Days
Star,Chocolate,Custom,Festival,"Chocolate, Caramel",Whipped Cream,Nutella,Sugar-Free,Silver,"Caramel Drizzle, Sprinkles, Chocolate Chips",Multi-Tier,Dense,Low,Edible Glitter,Large,Budget,Dairy,3 Days
Round,Carrot,5kg,Festival,"Fruits, Cream Cheese, Buttercream",Buttercream,Fruit Compote,Gluten-Free,Silver,Fruits,Single,Fluffy,Low,Piping Art,Party Size,Luxury,"Gluten, Nuts",Custom
Dome,Almond,Custom,Baby Shower,"Caramel, Mousse, Nuts",Fondant,Raspberry Mousse,Gluten-Free,Monochrome,Edible Flowers,Multi-Tier,Crispy,High,"Candied Fruits, Piping Art, Gold Leaf",Small,Budget,"Nuts, Gluten",Custom
Hexagon,Almond,2.5kg,Graduation,"Nuts, Ganache",Whipped Cream,Chocolate,Sugar-Free,Monochrome,"Edible Flowers, Caramel Drizzle",Multi-Tier,Moist,Extra Sweet,"Chocolate Shavings, Candied Fruits",Small,Premium,"Soy, Gluten",Custom
Rectangle,Gluten-Free,3kg,Festival,"Chocolate, Ganache, Buttercream, Cream Cheese",Royal Icing,Raspberry Mousse,Sugar-Free,Gold,"Nuts, Fruits",Double,Crispy,Extra Sweet,"Fondant Figures, Edible Glitter",Small,Budget,Gluten,1 Week
Tiered,Chocolate,1kg,Engagement,"Chocolate, Fondant, Buttercream",Fondant,Fruit Compote,Vegan,Pastel,"Nuts, Edible Flowers, Caramel Drizzle",Double,Fluffy,High,"Candied Fruits, Gold Leaf, Chocolate Shavings",Medium,Standard,"Soy, Nuts",3 Days
Star,Carrot,4kg,Corporate,"Fruits, Cream Cheese, Fondant, Nuts, Buttercream",Ganache,Strawberry Jam,Regular,Bright,"Edible Flowers, Chocolate Chips, Sprinkles",Double,Dense,High,"Edible Glitter, Piping Art, Gold Leaf",Large,Luxury,"Dairy, Soy",1 Week
Dome,Carrot,2.5kg,Birthday,"Chocolate, Fruits",Ganache,Raspberry Mousse,Vegan,Rainbow,Nuts,Single,Crispy,High,Chocolate Shavings,Small,Premium,Soy,1 Week
Tiered,Chocolate,Custom,Graduation,"Caramel, Ganache",Cream Cheese Frosting,Nutella,Low-Carb,Silver,"Marshmallows, Caramel Drizzle",Multi-Tier,Fluffy,Low,"Piping Art, Gold Leaf, Candied Fruits",Party Size,Budget,"None, Dairy",3 Days
Hexagon,Pistachio,2.5kg,Birthday,"Mousse, Caramel, Fruits, Chocolate",Royal Icing,Nutella,Low-Carb,Silver,"Marshmallows, Edible Flowers",Double,Crispy,Extra Sweet,Candied Fruits,Party Size,Standard,"Soy, Nuts",1 Day
Round,Carrot,4kg,Graduation,"Fruits, Caramel, Nuts, Cream Cheese",Whipped Cream,Raspberry Mousse,Sugar-Free,Gold,"Marshmallows, Edible Flowers, Fruits",Double,Soft,Medium,"Edible Glitter, Fondant Figures, Chocolate Shavings",Medium,Budget,"Dairy, None",Custom
Star,Red Velvet,2.5kg,Anniversary,"Caramel, Buttercream, Chocolate",Cream Cheese Frosting,Fruit Compote,Vegan,Monochrome,"Marshmallows, Fruits, Chocolate Chips",Multi-Tier,Dense,Medium,"Candied Fruits, Piping Art, Chocolate Shavings",Medium,Budget,"Nuts, None",Custom
Dome,Chocolate,1.5kg,Festival,"Nuts, Mousse, Cream Cheese, Buttercream, Fruits",Whipped Cream,Chocolate,Vegan,Bright,"Sprinkles, Edible Flowers, Caramel Drizzle",Multi-Tier,Crispy,Extra Sweet,"Candied Fruits, Fondant Figures",Medium,Standard,Nuts,Custom
Tiered,Pistachio,0.5kg,Wedding,"Buttercream, Mousse, Fondant, Cream Cheese",Fondant,Chocolate,Keto-Friendly,Bright,Chocolate Chips,Multi-Tier,Crispy,Medium,"Edible Glitter, Candied Fruits, Fondant Figures",Small,Standard,None,1 Day
Tiered,Almond,1kg,Anniversary,"Mousse, Caramel, Chocolate",Cream Cheese Frosting,Raspberry Mousse,Gluten-Free,Gold,Fruits,Single,Soft,Medium,"Candied Fruits, Fondant Figures, Edible Glitter",Medium,Budget,Soy,Custom
Round,Pistachio,1kg,Graduation,"Chocolate, Nuts",Cream Cheese Frosting,Vanilla Custard,Low-Carb,Silver,"Marshmallows, Sprinkles, Nuts",Multi-Tier,Fluffy,Extra Sweet,"Chocolate Shavings, Candied Fruits, Gold Leaf",Small,Standard,"Nuts, Dairy",3 Days
Round,Pistachio,0.5kg,Graduation,"Fondant, Fruits, Caramel",Buttercream,Caramel,Sugar-Free,Pastel,"Marshmallows, Sprinkles",Multi-Tier,Fluffy,Extra Sweet,"Edible Glitter, Fondant Figures",Party Size,Luxury,"Dairy, Gluten",1 Week
Square,Red Velvet,1.5kg,Festival,"Fondant, Fruits, Ganache, Cream Cheese",Ganache,Vanilla Custard,Low-Carb,Pastel,Nuts,Multi-Tier,Dense,Low,"Fondant Figures, Gold Leaf",Large,Standard,None,1 Day
Square,Marble,2kg,Wedding,"Nuts, Mousse, Caramel",Buttercream,Nutella,Keto-Friendly,Gold,"Caramel Drizzle, Nuts",Double,Fluffy,High,Gold Leaf,Medium,Luxury,"Nuts, Gluten",Custom
Heart,Red Velvet,Custom,Anniversary,"Ganache, Mousse",Cream Cheese Frosting,Fruit Compote,Eggless,Gold,"Marshmallows, Caramel Drizzle, Fruits",Single,Soft,Medium,"Edible Glitter, Chocolate Shavings, Candied Fruits",Medium,Budget,"Nuts, Dairy",1 Week
Rectangle,Red Velvet,3kg,Corporate,"Ganache, Fondant, Fruits, Caramel, Buttercream",Cream Cheese Frosting,Chocolate,Vegan,Silver,"Fruits, Nuts, Chocolate Chips",Single,Soft,Low,"Gold Leaf, Candied Fruits, Chocolate Shavings",Large,Standard,Soy,1 Day
Hexagon,Coconut,1.5kg,Birthday,"Nuts, Cream Cheese, Mousse, Fruits, Chocolate",Royal Icing,Raspberry Mousse,Low-Carb,Pastel,"Fruits, Caramel Drizzle, Sprinkles",Double,Soft,Medium,Candied Fruits,Medium,Premium,Soy,1 Week
Star,Pistachio,Custom,Graduation,"Chocolate, Caramel",Whipped Cream,Vanilla Custard,Regular,Dark,Marshmallows,Multi-Tier,Dense,Extra Sweet,Fondant Figures,Small,Budget,"Soy, Nuts",3 Days
Dome,Coconut,1kg,Birthday,"Buttercream, Nuts, Caramel",Royal Icing,Vanilla Custard,Eggless,Pastel,"Sprinkles, Nuts",Double,Fluffy,Low,"Fondant Figures, Candied Fruits",Medium,Standard,Soy,Custom
Tiered,Vanilla,3kg,Birthday,"Nuts, Mousse, Ganache, Chocolate",Buttercream,Strawberry Jam,Sugar-Free,Rainbow,Edible Flowers,Multi-Tier,Dense,Extra Sweet,"Chocolate Shavings, Piping Art",Party Size,Budget,"Gluten, None",3 Days
Square,Red Velvet,3kg,Anniversary,"Ganache, Nuts",Cream Cheese Frosting,Nutella,Keto-Friendly,Pastel,Chocolate Chips,Double,Moist,Low,"Chocolate Shavings, Gold Leaf, Piping Art",Large,Standard,Dairy,1 Week
Heart,Marble,1kg,Anniversary,"Fruits, Fondant, Caramel, Nuts",Ganache,Vanilla Custard,Keto-Friendly,Pastel,"Sprinkles, Edible Flowers, Fruits",Multi-Tier,Crispy,High,Candied Fruits,Medium,Standard,Nuts,3 Days
Oval,Almond,2kg,Wedding,"Ganache, Fruits, Caramel, Fondant, Chocolate",Whipped Cream,Strawberry Jam,Vegan,Rainbow,Edible Flowers,Single,Moist,Medium,Chocolate Shavings,Large,Luxury,Gluten,Custom
Tiered,Marble,1kg,Engagement,"Fondant, Caramel",Cream Cheese Frosting,Nutella,Regular,Dark,Caramel Drizzle,Double,Crispy,Medium,Fondant Figures,Large,Luxury,"Gluten, Dairy",1 Day
Hexagon,Almond,1.5kg,Corporate,"Cream Cheese, Chocolate, Buttercream",Royal Icing,Strawberry Jam,Vegan,Silver,Edible Flowers,Double,Fluffy,Medium,"Candied Fruits, Edible Glitter",Small,Budget,"None, Gluten",1 Week
Hexagon,Carrot,2.5kg,Anniversary,"Mousse, Cream Cheese",Cream Cheese Frosting,Caramel,Low-Carb,Gold,"Sprinkles, Marshmallows",Multi-Tier,Fluffy,Low,"Chocolate Shavings, Fondant Figures, Gold Leaf",Large,Budget,Nuts,1 Week
Star,Almond,3kg,Graduation,"Mousse, Fondant, Cream Cheese, Ganache",Whipped Cream,Caramel,Sugar-Free,Monochrome,Caramel Drizzle,Multi-Tier,Fluffy,Low,"Chocolate Shavings, Fondant Figures",Party Size,Luxury,"Gluten, None",3 Days
Dome,Pistachio,2.5kg,Festival,"Mousse, Ganache, Fruits",Fondant,Nutella,Low-Carb,Bright,"Fruits, Caramel Drizzle",Multi-Tier,Moist,Low,"Candied Fruits, Edible Glitter",Medium,Budget,Soy,1 Week
Hexagon,Pistachio,1kg,Birthday,"Caramel, Fondant, Nuts, Cream Cheese, Chocolate",Cream Cheese Frosting,Strawberry Jam,Vegan,Monochrome,"Chocolate Chips, Sprinkles",Single,Dense,Low,"Piping Art, Edible Glitter, Fondant Figures",Medium,Luxury,"None, Nuts",3 Days
Hexagon,Carrot,1.5kg,Festival,"Mousse, Nuts, Caramel, Fruits",Ganache,Chocolate,Regular,Pastel,"Sprinkles, Caramel Drizzle",Multi-Tier,Soft,High,Edible Glitter,Large,Standard,"Gluten, None",1 Week
Tiered,Chocolate,0.5kg,Graduation,"Fruits, Fondant, Chocolate",Cream Cheese Frosting,Nutella,Keto-Friendly,Monochrome,"Sprinkles, Fruits",Single,Crispy,High,"Edible Glitter, Candied Fruits",Large,Standard,"Nuts, Gluten",1 Week
Hexagon,Carrot,Custom,Wedding,"Ganache, Caramel, Chocolate, Mousse",Cream Cheese Frosting,Caramel,Eggless,Dark,Chocolate Chips,Single,Moist,High,"Candied Fruits, Fondant Figures",Party Size,Luxury,"Soy, Nuts",3 Days
Hexagon,Pistachio,2kg,Festival,"Ganache, Fruits, Cream Cheese",Buttercream,Chocolate,Regular,Silver,Edible Flowers,Multi-Tier,Dense,High,Candied Fruits,Party Size,Premium,"None, Nuts",Custom
Round,Carrot,0.5kg,Baby Shower,"Caramel, Fruits",Buttercream,Strawberry Jam,Sugar-Free,Dark,"Sprinkles, Marshmallows, Nuts",Multi-Tier,Soft,Low,"Gold Leaf, Edible Glitter, Candied Fruits",Small,Budget,"Dairy, Gluten",Custom
Rectangle,Marble,4kg,Baby Shower,"Ganache, Mousse, Nuts, Fondant",Whipped Cream,Vanilla Custard,Gluten-Free,Dark,"Sprinkles, Fruits",Single,Crispy,Extra Sweet,Chocolate Shavings,Small,Premium,Dairy,3 Days
Square,Chocolate,5kg,Graduation,"Mousse, Caramel",Whipped Cream,Raspberry Mousse,Gluten-Free,Monochrome,Edible Flowers,Double,Soft,Extra Sweet,"Piping Art, Gold Leaf, Fondant Figures",Large,Standard,"Nuts, Gluten",1 Day
Oval,Coconut,2.5kg,Wedding,"Nuts, Mousse, Buttercream, Cream Cheese, Fondant",Ganache,Nutella,Vegan,Silver,"Nuts, Sprinkles",Multi-Tier,Crispy,Extra Sweet,"Fondant Figures, Piping Art, Candied Fruits",Large,Standard,"Soy, Gluten",3 Days
Square,Marble,4kg,Anniversary,"Mousse, Ganache, Buttercream, Caramel",Whipped Cream,Vanilla Custard,Sugar-Free,Gold,"Caramel Drizzle, Fruits",Double,Fluffy,Low,Candied Fruits,Large,Standard,"Soy, Nuts",1 Week
Tiered,Pistachio,5kg,Birthday,"Cream Cheese, Fondant, Mousse, Fruits",Royal Icing,Vanilla Custard,Gluten-Free,Monochrome,"Fruits, Marshmallows",Double,Dense,Medium,"Gold Leaf, Piping Art, Candied Fruits",Large,Standard,"None, Nuts",1 Week
Tiered,Carrot,5kg,Wedding,"Fruits, Ganache, Caramel, Chocolate, Mousse",Cream Cheese Frosting,Caramel,Low-Carb,Dark,"Sprinkles, Marshmallows, Nuts",Double,Fluffy,Extra Sweet,"Chocolate Shavings, Fondant Figures",Party Size,Standard,"Dairy, None",1 Day
Rectangle,Vanilla,Custom,Festival,"Fruits, Mousse, Nuts",Whipped Cream,Strawberry Jam,Gluten-Free,Pastel,"Caramel Drizzle, Chocolate Chips, Marshmallows",Single,Soft,Medium,"Edible Glitter, Piping Art, Candied Fruits",Large,Standard,Soy,1 Week
Dome,Chocolate,1kg,Baby Shower,"Mousse, Fondant, Caramel, Chocolate",Royal Icing,Nutella,Keto-Friendly,Pastel,Sprinkles,Single,Dense,Medium,Candied Fruits,Medium,Standard,Nuts,1 Day
Oval,Chocolate,4kg,Festival,"Nuts, Cream Cheese, Ganache, Fruits",Buttercream,Raspberry Mousse,Gluten-Free,Dark,"Fruits, Sprinkles, Chocolate Chips",Single,Fluffy,High,"Piping Art, Candied Fruits",Small,Luxury,Dairy,3 Days
Square,Marble,1kg,Graduation,"Ganache, Fruits, Nuts, Cream Cheese",Ganache,Chocolate,Sugar-Free,Monochrome,"Nuts, Marshmallows",Multi-Tier,Crispy,Low,Gold Leaf,Small,Budget,"Soy, Gluten",3 Days
Star,Carrot,3kg,Birthday,"Caramel, Mousse",Buttercream,Chocolate,Sugar-Free,Bright,"Chocolate Chips, Nuts, Marshmallows",Double,Fluffy,Medium,"Candied Fruits, Fondant Figures",Small,Premium,"None, Gluten",Custom
Dome,Chocolate,1kg,Engagement,"Cream Cheese, Nuts, Mousse, Fruits",Buttercream,Strawberry Jam,Gluten-Free,Dark,"Sprinkles, Marshmallows",Single,Soft,Extra Sweet,Chocolate Shavings,Party Size,Premium,None,3 Days
Tiered,Gluten-Free,1.5kg,Engagement,"Buttercream, Fondant, Mousse, Cream Cheese, Caramel",Cream Cheese Frosting,Caramel,Vegan,Dark,"Chocolate Chips, Caramel Drizzle",Single,Dense,Medium,"Edible Glitter, Piping Art, Candied Fruits",Medium,Standard,Dairy,Custom
Hexagon,Gluten-Free,Custom,Anniversary,"Mousse, Cream Cheese, Fruits, Fondant, Chocolate",Whipped Cream,Fruit Compote,Regular,Dark,"Nuts, Chocolate Chips",Multi-Tier,Fluffy,High,Piping Art,Party Size,Standard,Soy,3 Days
Square,Coconut,1kg,Engagement,"Cream Cheese, Chocolate, Fruits, Nuts, Buttercream",Buttercream,Vanilla Custard,Vegan,Monochrome,"Caramel Drizzle, Sprinkles, Edible Flowers",Double,Dense,Medium,"Fondant Figures, Gold Leaf, Edible Glitter",Party Size,Luxury,"Gluten, Dairy",1 Week
Square,Coconut,1.5kg,Wedding,"Fruits, Mousse, Nuts, Ganache, Buttercream",Whipped Cream,Caramel,Keto-Friendly,Silver,"Edible Flowers, Caramel Drizzle",Single,Crispy,Extra Sweet,Chocolate Shavings,Large,Luxury,Dairy,1 Day
Heart,Pistachio,1kg,Wedding,"Nuts, Cream Cheese, Buttercream, Fondant, Fruits",Ganache,Raspberry Mousse,Keto-Friendly,Rainbow,"Chocolate Chips, Sprinkles",Multi-Tier,Dense,High,"Fondant Figures, Chocolate Shavings",Party Size,Premium,"Soy, None",3 Days
Oval,Chocolate,3kg,Birthday,"Fondant, Nuts, Ganache, Fruits",Cream Cheese Frosting,Nutella,Regular,Dark,Caramel Drizzle,Single,Fluffy,Extra Sweet,Gold Leaf,Party Size,Budget,Nuts,1 Week
Oval,Carrot,Custom,Graduation,"Fruits, Mousse",Ganache,Strawberry Jam,Vegan,Dark,Marshmallows,Multi-Tier,Dense,Medium,Fondant Figures,Large,Luxury,Nuts,1 Week
Heart,Chocolate,2kg,Corporate,"Buttercream, Fondant, Fruits",Whipped Cream,Strawberry Jam,Eggless,Silver,Fruits,Multi-Tier,Crispy,Medium,Gold Leaf,Party Size,Standard,None,3 Days
